Year,Commemorative,Obverse,Reverse,D,P,Count,D,P,S,W,No Mark,Mintage,,,,D,P,No Mark,,CC,D,O,P,S,W,No Mark,,,,,D,P,S,Total,D,P,S,Total
2025,,Schlag,Monticello,,,0,"322,320,000","443,840,000","304,725",,,"766,464,725",,Fraser,Ida B. Wells,,,,0,,"143,200,000",,"166,200,000","391,280",,,"309,791,280",,Sacagawea,Mary Kawena Pukui,,,,,,,,
2025,,,,,,0,,,,,,0,,Fraser,Juliette Gordon Low,,3,,3,,"130,200,000",,"200,400,000","434,600",,,"331,034,600",,Kunz 2025,Raye Montague,,,,,,,,
2025,,,,,,0,,,,,,0,,Fraser,Dr. Vera Rubin,,,,0,,"63,000,000",,"55,800,000","383,480",,,"119,183,480",,Kunz 2025,Automobile Assembly Line,,,,,,,,
2025,,,,,,0,,,,,,0,,Fraser,Stacey Park Milbern,,2,,2,,"59,400,000",,"94,800,000","361,360",,,"154,561,360",,Kunz 2025,Space Shuttle,,,,,,,,
2025,,,,,,0,,,,,,0,,Fraser,Althea Gibson,,,,0,,"31,600,000",,"35,200,000","326,560",,,"67,126,560",,Kunz 2025,International Space Station,,,,,,,,
2026,,Schlag,Monticello,,,0,,,,,,0,,Mayflower Compact,Mayflower,,,,0,,,,,,,,0,,Sacagawea,Polly Cooper,,,,,,,,
2026,,,,,,0,,,,,,0,,Menna,Continental Army,,,,0,,,,,,,,0,,Kunz 2026,Norman Borlaug,,,,,,,,
2026,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Kunz 2026,Cray-1 Supercomputer,,,,,,,,
,,,Indian Head,0,0,,"165,697,614","928,381,929","110,026,000",,,"1,204,105,543",,,Bicentennial,0,2,0,,,,,,,,,,,,,,,,,,,,
,,,,0.00%,0.00%,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Franki,17,27,44,"24,027,931,601","23,647,135,784","1,032,066,275",,"399,665,463","48,707,133,660",,,Flanagan,34,42,14,,,,,,,,,,,,,,,,,,,,
,,,,20.24%,32.14%,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Liberty Head,0,0,,"8,474,000","593,374,712","238,000",,,"602,086,712",,,Fraser,5,26,,,,,,,,,,,,,,,,,,,,,
,,,,0.00%,0.00%,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Shield,0,0,,,"128,039,339",,,,"128,039,339",,,States & Terr.,14,47,0,,,,,,,,,,,,,,,,,,,,
,,,,0.00%,0.00%,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Schlag,7,33,40,"11,227,640,000","10,381,974,400","25,160,652","777,913",,"21,634,775,052",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8.33%,39.29%,47.62%,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,American Bison,0,3,3,"487,680,000","448,320,000","3,344,679",0,0,"939,344,679",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.00%,3.57%,3.57%,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Keelboat,0,0,0,"344,880,000","366,720,000","2,965,422",0,0,"714,565,422",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.00%,0.00%,0.00%,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Louisiana Purchase,0,2,2,"372,000,000","361,440,000","2,992,069",0,0,"736,432,069",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.00%,2.38%,2.38%,0,0,0,0,0,0,,,,,,,,,,, ,,,,,,,,,,,,,,,
,,,Monticello,24,54,78,"33,555,130,601","31,890,926,484","827,041,078",0,"399,665,463","66,273,098,163",,,,,,                    ,,,,,,,,,,,,,,,,,,,,
,,,,28.57%,64.29%,92.86%,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ocean in View,0,1,1,"411,120,000","394,080,000","3,344,679",0,0,"808,544,679",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.00%,1.19%,1.19%,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,24,60,84,"35,429,743,215","35,678,906,164","1,167,490,927","777,913","399,665,463","72,276,140,306",,,,65,164,14,243,,"14,510,852,326",0,"25,034,089,655","67,262,183","20,100,000","5,673,566,888","45,285,771,052",,,,,,,,,,,
,,,Average Age,30.96,19.25,22.60,31.44,35.49,67.19,6.00,60.07,34.35,,,,26.65,16.86,60.21,21.98,,11.65,#DIV/0!,29.17,14.19,6.52,56.85,27.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"1,988",,,,,,,,,,,,,,,,,,,
